Source	Target
%d%s REPAIR SKILL NEEDED	%d%s 수리 기술이 필요합니다
%i Dragon Soul	%i 드래곤 영혼
%i Dragon Souls	%i 드래곤 영혼
%s Bounty	%s 현상금
%s discovered from %s	효과 : %s - %s 에서 발견했습니다
%s has worn off.	%s 가 사라졌습니다.
%s increased by %d	%s 기술강화 - %d 증가
%s Increased to %i	%s 기술 증가- 현재 %i
%s is too powerful for %s.	%s 는 너무 강력하여 %s 효과가 적용되지 않습니다.
%s resisted %s.	%s - %s 저항했습니다.
%s signal found.	%s 신호를 발견했다.
%s signal lost.	%s 신호가 사라졌다.
(Cut the captive's bonds)	(포로의 결박을 풀어주기)
(Do not read)	(읽지 않는다)
(Give poem)	(시를 주기)
(Hand him the axe)	(도끼를 건네주기)
(Hand over 200 gold)	(200골드를 건네기)
(Listen at the door)	(문에 귀를 기울이기)
(Optional) Ask carriage drivers about the Moth Priest	(선택) 마부들에게 나방 사제에 관해서 물어보기
(Optional) Ask innkeepers in cities about the Moth Priest	(선택) 각 도시의 여관 주인들에게 나방 사제에 관해서 물어보기
(Optional) Attempt to pick the lock to the cage	(선택) 쇠창살감옥의 자물쇠를 열어보기
(Optional) Choose a high profile victim	(선택) 저명인사들 중에서 희생자를 선택하기
(Optional) Destroy the Summerset Shadow's Banner	(선택) 서머셋 섀도 현수막을 파괴하기
(Optional) Discover leverage to sway Niranye	(선택) 니랴네의 마음을 바꾸기 위한 수단을 찾기
(Optional) Drag Balagog's body to a hiding place	(선택) 발라고그의 시체를 숨기기
(Optional) Enter Goldenglow using sewer	(선택) 하수도를 이용하여 골든글로우 지구에 들어가기
(Optional) Find Skorm Snow-Strider's journal	(선택) 스콤의 일기를 찾기
(Optional) Find the key to the well in the Catacombs	(선택) 지하묘지안에서 우물의 열쇠를 찾기
(Optional) Free Orthorn	(선택) 오쏜을 풀어주기
(Optional) Kill Amaund Motierre	(선택) 아먼드 모티에르를 죽이기
(Optional) Kill Commander Maro	(선택) 마로 사령관을 죽이기
(Optional) Kill Nilsine Shatter-Shield	(선택) 닐신 섀터-실드 죽이기
(Optional) Learn more about the theft in Frostmere Crypt	(선택) 프로스트미어 묘실에서 발생한 절도사건에 대해 알아보기
(Optional) Make it a discreet kill	(선택) 은밀하게 죽이기
(Optional) Make it a public kill while wearing Dawnguard armor	(선택) 던가드 방어구를 착용한 상태에서 공개적으로 살인하기
(Optional) Obtain the key to Aringoth's safe	(선택) 애린고쓰의 금고 열쇠를 얻기
(Optional) Obtain the key to Calcelmo's Museum	(선택) 칼셀모의 박물관 열쇠를 구하기
(Optional) Obtain the key to Margret's room	(선택) 마그레트의 방 열쇠를 얻기
(Optional) Obtain the key to Weylin's room	(선택) 웨일린의 방 열쇠를 얻기
(Optional) Protect Golldir	(선택) 골디어를 보호하기
(Optional) Read Gratian Caerellius's Journal	(선택) 그라시안 카렐리우스의 일기를 읽기
(Optional) Retrieve Katria's Journal	(선택) 카트리아의 일기를 회수하기
(Optional) Retrieve Nystrom's Journal	(선택) 니스트롬의 일기를 찾아오기
(Optional) Retrieve the Blade of Woe	(선택) 비통의 단검를 가지기
(Optional) Retrieve your gear	(선택) 장비를 회수하기
(Optional) Search for Crafting Materials	(선택) 제작에 필요한 재료들을 찾기
(Optional) Search the barrel for potions	(선택) 통을 뒤져서 물약을 찾기
(Optional) Shoot the mechanism to lower the ramp	(선택) 경사로를 내리기 위해 기계장치를 쏘아 맞추기
(Optional) Show Skorm Snow-Strider's journal to Valmir	(선택) 발머에게 스콤의 일지를 보여주기
(Optional) Shut off the Steam	(선택) 증기를 멈추기
(Optional) Smash Bersi's prized Dwarven Urn	(선택) 베르시가 아끼는 드워프제 항아리를 부수기
(Optional) Speak to Brynjolf	(선택) 브린욜프와 대화하기
(Optional) Speak to Vex about Goldenglow Estate	(선택) 골든글로우 지구에 관해 벡스와 대화하기
(Optional) Speak to Vex about Vald	(선택) 볼드에 관해서 벡스와 대화하기
(Optional) Steal Gaius Maro's travel schedule	(선택) 가이우스 마로의 여행 계획을 훔치기
(Optional) Steal Haelga's Statue of Dibella	(선택) 헬가의 디벨라 동상을 훔치기
(Optional) Steal the Lodge Stash	(선택) 별장 금고를 훔치기
(Optional) Talk to Arngeir	(선택) 안기어와 대화하기
(Optional) Talk to Esbern	(선택) 에스번과 대화하기
(Optional) Talk to Margret	(선택) 마그레트와 대화하기
(Optional) Tell Faendal about Sven's letter	(선택) 페인달에게 스벤의 편지에 대해 말하기
(Optional) Tell Sven about Faendal's letter	(선택) 페인달의 편지에 관해 스벤에게 말하기
(Optional) Tell the Jarl about Helgi	(선택) 헬기에 관해서 야를에게 이야기하기
(Optional) Travel to Riverwood with <Alias=FactionFriend>	(선택) <Alias=FactionFriend>와 함께 리버우드로 가기
(Optional) Use Talen-Jei to get to Keerava	(선택) 탈렌-제이를 이용하여 키라바에게 접근하기
(Optional) Use your new Shout power	(선택) 새로운 능력 - 함성을 사용하기
(Optional) Visit the College of Winterhold to ask about the Moth Priest	(선택) 윈터홀드의 마법대학을 방문하여 나방 사제에 관해 물어보기
(Optional) Wipe out the Glenmoril Witches	(선택) 글렌모릴 마녀들을 섬멸하기
(Optional) Wipe out the Silver Hand	(선택) 실버핸드를 전멸시키기
(Remain silent)	(아무말도 하지 않는다)
(Show Astrid the amulet and sealed letter)	(아스트리드에게 아뮬렛과 봉인된 편지를 보여준다)
(Show Maro the Gourmet's Writ of Passage)	(마로에게 미식가의 통행증을 보여 준다)
+<mag> carrying capacity, and no movement penalty from armor.	무게한계 <mag> 증가, 무거운 방어구를 착용해도 이동에 영향을 받지 않게 됩니다.
+<mag> damage resistance for <dur> seconds.	<dur> 초 동안 피해 저항력이 <mag> 증가합니다.
+<mag> damage resistance, if wearer is undead.	착용자가 언데드라면 피해 저항력이 <mag> 증가합니다.
+<mag> magicka, if wearer is undead.	착용자가 언데드라면 매지카가 <mag> 증가합니다.
+<mag> Speechcraft for <dur> seconds.	<dur> 초 동안 화술이 <mag> 증가합니다.
+<mag> Speechcraft.	화술이 <mag> 증가합니다.
+<mag>% resistance to fire and frost for <dur> seconds.	<dur> 초 동안 화염과 냉기 저항력이 <mag>% 증가합니다.
10 Gold	10 골드
10,000 gold. (Lie)	10,000 골드. (거짓)
16 Accords of Madness, v. IX	광기의 16협약, 제 9권
16 Accords of Madness, v. VI	광기의 16협약, 제 6권
16 Accords of Madness, v. XII	광기의 16협약, 제 12권
20,000 gold.	20,000 골드.
25 Gold	25 골드
2920, Evening Star, v12	2920년도 12월, 제 12권
2920, First Seed, v3	2920년도 3월, 제 3권
2920, Frostfall, v10	2920년도 10월, 제 10권
2920, Hearth Fire, v9	2920년도 9월, 제 9권
2920, Last Seed, v8	2920년도 8월, 제 8권
2920, MidYear, v6	2920년도 6월, 제 6권
2920, Morning Star, v1	2920년도 1월, 제 1권
2920, Rain's Hand, v4	2920년도 4월, 제 4권
2920, Second Seed, v5	2920년도 5월, 제 5권
2920, Sun's Dawn, v2	2920년도 2월, 제 2권
2920, Sun's Dusk, v11	2920년도 11월, 제 11권
2920, Sun's Height, v7	2920년도 7월, 제 7권
360 Controller	Xbox 360 컨트롤러
5 Gold	5 골드
5,000 gold. (Lie)	5,000 골드. (거짓)
50% chance for each attribute to absorb <mag> points of Health, Stamina and/or Magicka.	50% 확률로 체력, 지구력, 매지카 중 하나를 <mag> 흡수합니다.
50% chance for each element of fire, frost and shock to do <mag> points of damage.	50% 확률로 <mag> 의 화염, 냉기, 전격 중 하나의 피해를 입힙니다.
6000 gold, and they're yours.	6,000 골드를 내면 당신에게 팔겠소.
<Alias.Cap=SonsMinorHoldCapital> seems like a fair trade.	<Alias.Cap=SonsMinorHoldCapital>라면 공정한 거래 같은데.
<Alias.ShortName=Client>'s <BaseName>	<Alias.ShortName=Client>의 <BaseName>
<Alias.ShortName=QuestGiver> gave me this ring. I think it's yours.	<Alias.ShortName=QuestGiver>가 이 반지를 주었는데, 당신 것 같군.
<Alias.ShortName=Target> will be paying you all more.	<Alias.ShortName=Target> 이/가 당신들에게 더 지불해 줄 것이다.
<Alias.ShortName=Target> won't be bothering you anymore.	<Alias.ShortName=Target>에게 말해 두었소. 더 이상 당신을 괴롭히지 않을거요.
<Alias=Animal> is waiting for you	<Alias=Animal> : 당신을 기다리고 있습니다.
<Alias=Brute> was killed.	<Alias=Brute> 는 죽어버렸소.
<Alias=Candidate> has been welcomed to the family.	새 가족을 맞이했소. <Alias=Candidate>말이오.
<Alias=Dungeon> is free of bandits.	<Alias=Dungeon>의 산적들은 처리되었소.
<Alias=Follower> is waiting for you	<Alias=Follower> : 당신을 기다리고 있습니다.
<Alias=Home> Furnishings	<Alias=Home> 가구들
<Alias=ImperialMinorHoldCapital> seems like a fair trade.	<Alias=ImperialMinorHoldCapital>라면 공정한 거래같이 보이는군.
<Alias=Mark>'s <BaseName>	<Alias=Mark>의 <BaseName>
<Alias=Player>'s <BaseName>	<Alias=Player>의 <BaseName>
<Alias=Player>'s Horse	<Alias=Player>의 말
<Alias=Player>'s Wolf Spirit	<Alias=Player>의 늑대 정령
<Alias=PlayerIsIt> is it. Hide from <Alias=PlayerIsIt.PronounObj>	<Alias=PlayerIsIt> 이 술래입니다. <Alias=PlayerIsIt.PronounObj>에게서 숨으세요
<Alias=PlayerIsIt> is it. Keep away from <Alias=PlayerIsIt.PronounObj>	<Alias=PlayerIsIt> 입니다. <Alias=PlayerIsIt.PronounObj>로부터 멀리 피하세요
<Alias=QuestGiver>'s <BaseName>	<Alias=QuestGiver>의 <BaseName>
<Alias=RiverwoodFriend> sent me. Riverwood is in danger.	<Alias=RiverwoodFriend>가 부탁해서 왔습니다. 리버우드가 위험합니다.
<Alias=Steward> says there's a shipment of coin traveling to Solitude...	<Alias=Steward>가 말하길 솔리튜드로 가는 현금수송이 있다고 합니다...
<Alias=Steward> says there's a shipment of coin traveling to Windhelm...	<Alias=Steward>가 말하길 윈드헬름으로 가는 현금수송이 있다고 합니다...
<Alias=Victim> was killed.	<Alias=Victim> 은/는 죽었소.
<Alias=Witch>'s <BaseName>	<Alias=Witch>의 <BaseName>
<BaseName> the Slayer	학살자 <BaseName>
<font color='#FF0000'>Pickpocket</font>	<font color='#FF0000'> 소매치기 </font>
<font color='#FF0000'>Steal from</font>	<font color='#FF0000'> 훔쳐내기 </font>
<font color='#FF0000'>Steal</font>	<font color='#FF0000'> 훔치기 </font>
<Global=WE17GoldAmount> gold? You can have it, if you can take it from me.	<Global=WE17GoldAmount> 골드? 어디 한번 뺏어가 보시지.
<mag> points of damage for <dur> seconds.	<dur> 초 동안 <mag> 의 피해를 입힙니다.
<mag> points of extra damage to Animals.	동물에게 <mag>의 추가 피해를 입힙니다.
<mag> points of extra damage to Nords.	노드에게 <mag>의 추가 피해를 입힙니다.
<mag> points of extra damage which ignores armor.	방어력을 무시하고 <mag> 의 추가 피해를 입힙니다.
<mag> points of sun damage. Undead targets take triple damage.	<mag> 의 태양 피해를 입힙니다. 언데드에게는 3배의 피해를 입힙니다.
<mag>% resistant to disease.	질병 저항력이 <mag>% 증가합니다.
<mag>% resistant to poison.	독 저항력이 <mag>% 증가합니다.
<NOT BOUND>	<할당되지 않음>
[CAUTION]	[주의]
[DANGER]	[위험]
[DETECTED]	[발각]
[FAILED]	[실패]
[HIDDEN]	[은신]
[INACCESSIBLE]	[사용불가]
[NEW SAVE]	[새로 저장]
[NO SAVES FOUND]	[저장파일 없음]
[Optional] Find <Alias=Jarl> and escape with <Alias.PronounObj=Jarl> through the city.	(선택) <Alias=Jarl>을 찾고 <Alias.PronounObj=Jarl>과 함께 도시를 통하여 탈출하기.
[SUCCESS]	[성공]
[SURV=Warmth is increased by <mag> points for <dur> seconds.]	[SURV=<dur> 초 동안 온기가 <mag> 증가합니다.]
A <mag> point fiery explosion centered on the caster. Does more damage to closer targets.	거대한 불길의 폭풍을 일으켜 <mag> 의 화염 피해를 입힙니다. 가까운 적일수록 더 큰 피해를 입습니다.
A Bad Trade	불경기
A battleaxe. (25 husks)	전투 도끼. (25 껍질)
A benefit? How?	도움이라니? 무슨?
A Blade in the Dark	어둠 속의 블레이드
A blast from Wabbajack with an unpredictable effect.	예측할 수 없는 와바잭의 돌풍입니다.
A blast of cold that does <mag> points of damage per second damage to Health and Stamina.	차가운 돌풍을 뿜어내어 매 초마다 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A blast of cold that does <mag> points of damage per second to Health and Stamina.	매 초마다 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A blast of cold that does <mag> points per second damage to Health and Stamina.	차가운 돌풍을 뿜어내어 매 초마다 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A blast of fire that does <mag> points of damage. Targets on fire take extra damage.	타오르는 불덩이를 날려 <mag> 의 화염 피해를 입힙니다. 불이 붙은 적은 추가 피해를 입습니다.
A blast of fire that does <mag> points. Targets on fire take extra damage.	불꽃의 화살을 날려 <mag> 의 화염 피해를 입힙니다. 불이 붙은 적은 추가 피해를 입습니다.
A blast of flame that sets the target on fire, doing <mag> damage per second for <15> seconds.	불꽃의 화살을 날려 <15> 초 동안 <mag> 의 화염 피해를 입힙니다. 불이 붙은 적은 추가 피해를 입습니다.
A blood-freezing poison that does <mag> points damage to Health and Stamina for <dur> seconds.	피가 굳어지는 독으로 <dur> 초 동안 매 초마다 <mag> 의 피해와 지구력 피해를 입힙니다.
A blood-freezing poison that does <mag> points of damage to Health and Stamina per second.	피가 굳어지는 독으로 매 초마다 <mag> 의 피해와 지구력 피해를 입힙니다.
A bolt of lightning that does <mag> points of shock damage to Health and half that to Magicka.	번개의 화살을 날려 <mag> 의 전격 피해와 절반의 매지카 피해를 입힙니다.
A book?	책?
A Chance Arrangement	기회 주선
A Children's Anuad	아이들을 위한 아누아드
A Cornered Rat	궁지에 몰린 쥐
A courier gave me this invitation.	이 초대장을 받았는데.
A courier gave me this pamphlet...	배달부가 이 광고지를 주던데...
A curse? What can we do about it?	저주라고? 저주를 상대로 뭘 할 수 있지?
A cyclone that does <mag> points of damage per second and flings victims into the air.	사이클론이 매 초마다 <mag> 의 피해를 입히며 공중으로 날려버립니다.
A cyclone that does <mag> points of damage per second and may fling victims into the air.	사이클론이 매 초마다 <mag> 의 피해를 입히며 공중으로 날려버립니다.
A Daedra's Best Friend	데이드라의 개
A daedra?	데이드라?
A Dance in Fire, v1	불의 춤, 제 1권
A Dance in Fire, v2	불의 춤, 제 2권
A Dance in Fire, v3	불의 춤, 제 3권
A Dance in Fire, v4	불의 춤, 제 4권
A Dance in Fire, v5	불의 춤, 제 5권
A Dance in Fire, v6	불의 춤, 제 6권
A Dance in Fire, v7	불의 춤, 제 7권
A Dark Brotherhood assassin doesn't do... "favors."	다크 브라더후드의 암살자는 '호의'를 베풀어주진 않아.
A dragon attacked Helgen and destroyed it. Hadvar and I escaped together.	드래곤이 헬겐을 공격해서 파괴했고, 나는 해드버와 함께 탈출했소.
A dragon attacked Helgen and destroyed it. Ralof and I escaped together.	드래곤이 헬겐을 공격했고 파괴했습니다. 나는 레일로프와 함께 탈출했소.
A dragon destroyed Helgen. <Alias=RiverwoodFriend> is afraid Riverwood is next.	드래곤이 헬겐을 파괴했습니다. <Alias=RiverwoodFriend> 는 다음 목표가 리버우드라고 걱정하고 있습니다.
A dragon has destroyed Helgen.	드래곤이 헬겐을 파괴했습니다.
A dragon is attacking Kynesgrove?	드래곤이 카인즈그로브를 공격하고 있습니까?
A Dream of Sovngarde	소븐가드의 꿈
A dremora captured you?	드레모라가 당신을 가두었다고?
A drinking contest? You don't stand a chance!	술 마시기 대결? 상대가 안 될 텐데!
A False Front	위장 전술
A Few Words with You	몇 마디의 대화
A fiery explosion for <mag> points of damage in a 15 foot radius. Targets on fire take extra damage.	15 피트 범위의 격렬한 폭발로 <mag> 의 화염 피해를 입힙니다. 불이 붙은 적은 추가 피해를 입습니다.
A fox?	여우?
A freezing whirlwind that does <mag> points of damage per second, and twice as much Stamina damage.	얼어붙은 회오리바람을 날려 매 초마다 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A freezing whirlwind that does <mag> points of frost damage per second to Health and Stamina.	얼어붙은 회오리바람을 날려 매 초마다 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A Friend Indeed	진정한 친구
A Friend to the Orcs	오크의 친구
A Game at Dinner	만찬의 유희
A Gentleman's Guide to Whiterun	신사의 화이트런 안내서
A good death?	좋은 죽음?
A gout of fire that does <mag> points per second. Targets on fire take extra damage.	불길을 뿜어내어 매 초마다 <mag> 의 화염 피해를 입힙니다. 불이 붙은 적은 추가 피해를 입습니다.
A Grand Soul gem filled with a Grand Soul is required to build the Arcane Enchanter.	마법 부여대를 제작하기 위해서는 특급 소울젬(특급)이 필요합니다.
A greatsword swings faster than a battleaxe, and a battleaxe swings faster than a warhammer.	대검은 전투 도끼보다 빠르게, 그리고 전투 도끼는 전투 망치보다 빠르게 휘두를 수 있습니다.
A guard said you own the Dwemer Museum.	경비병이 말하길, 당신이 드웨머 박물관의 주인이라던데.
A guard sent me. I killed the leader of the Dark Brotherhood.	경비병이 날 보냈소. 내가 다크 브라더후드의 우두머리를 죽였지.
A guardian skeever? Are you serious?	수호자 스키버라니, 진담이오?
A Hypothetical Treachery	가설 배반
A Jarl's Justice	야를의 정의
A Kiss, Sweet Mother	키스, 사랑하는 어머니
A large addition in the Riften style.	리프튼의 건축양식에 맞는 커다란 추가 공간.
A large addition in the Solitude style.	솔리튜드의 건축양식에 맞는 커다란 추가 공간.
A large addition in the Whiterun style.	화이트런의 건축양식에 맞는 커다란 추가 공간.
A Letter to Selina I	셀리나에게 보내는 편지 1
A Letter to Selina II	셀리나에게 보내는 편지 2
A Letter to Selina III	셀리나에게 보내는 편지 3
A Letter to Selina IV	셀리나에게 보내는 편지 4
A Lovely Letter	사랑스러운 편지
A mace. It's rusted.	철퇴. 녹슨 철퇴가 보이는군요.
A mace? This is hardly a fitting prize.	철퇴 하나? 이건 적절한 보상이 못 되는데.
A Magic Wall spell creates a barrier that hurts anything that moves through it.	마법장벽은 그곳을 통과하는 모든 목표에 피해를 주는 벽을 만들어냅니다.
A magical Ward protects the caster from offensive spells, but takes a few seconds to charge up to full power.	마법 방어막은 공격 마법으로부터 시전자를 보호합니다, 하지만 최대 효과를 내기 위해서는 충전을 위해 몇 초의 시간이 필요합니다.
A man named Isran.	이스란이라는 남자가.
A Minor Maze	작은 미로
A Mysterious Note	이상한 쪽지
A native uprising in Markarth was put down 20 years ago. The survivors are known as the Forsworn.	마르카스에서 일어난 원주민 반란은 20년 전에 진압되었습니다. 생존자들은 포스원이라고 지칭되고 있습니다.
A Netch?	네치?
A New Debt	새로운 부채
A New Order	새로운 지시
A new passage to what?	새로운 길이라니, 어디로 가는 길입니까?
A New Source of Stalhrim	신규 스탈림 근원
A Night To Remember	기억해야 하는 밤
A Note	노트
A place in court seems to suit you.	궁정에서의 위치가 맘에 드나보군.
A power attack against an opponent who is blocking will break through the block, without staggering the attacker.	방어중인 적에 대한 강한 공격은 방어자세를 깨뜨리며 피해를 입히게 됩니다. 공격한 사람은 휘청거리지 않습니다.
A power attack might stagger an opponent, preventing him from immediately counteracting.	강한 공격은 상대를 휘청거리게 만들어 곧바로 반격하는 것을 방지하기도 합니다.
A price for what?	뭐에 대한 대가 말이요?
A priestess of Azura sent me. (Persuade)	아주라의 사제가 나를 보냈소. (설득)
A problem?	문제?
A rabbit?	토끼?
A readied arrow will be put back into its quiver if the bow is sheathed.	활을 집어넣으면 화살을 쏘기위해 시위에 걸쳐놓았던 화살도 화살통으로 다시 들어가게 됩니다.
A recent string of murders has many Windhelm residents fearing for their lives...	최근 연이은 살인사건이 수 많은 윈드헬름 주민들의 삶을 공포에 떨게하고 있습니다.
A Return To Your Roots	뿌리를 찾기
A Scrawled Note	휘갈겨 쓴 쪽지
A Scroll For Anska	안스카를 위한 마법 주문서
A second drink. Easy enough.	두 번째 잔. 별거 아니군.
A shiv?	칼?
A skald? Is that some kind of bard?	스칼드? 바드와 비슷한 겁니까?
A snow elf?	스노우 엘프?
A spear of ice that does <mag> points of frost damage to Health and Stamina.	날카로운 얼음의 창을 날려 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A spear of ice that does <mag> points of frost damage, and twice as much Stamina damage.	얼음의 가시를 날려 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A spell tome. (25 husks)	마법책. (25 껍질)
A spike of ice that does <mag> points of frost damage to Health and Stamina and slows the target for <15> seconds.	얼음의 가시를 날려 <15> 초 동안 이동 속도를 감소시키고 <mag> 의 냉기 피해와 지구력 피해를 입힙니다. 일정한 확률로 적을 빙결시킵니다.
A spike of ice that does <mag> points of frost damage to Health and Stamina.	얼음의 가시를 날려 <mag> 의 냉기 피해와 지구력 피해를 입힙니다.
A stalemate?	비긴건가?
A sting that does <mag> points of shock damage to Health and half that to Magicka.	바늘이 <mag> 의 전격 피해와 절반의 매지카 피해를 입힙니다.
A stone platform suitable for placing shrines to the Divines of your choice.	디바인을 위한 성소를 놓아두기에 적합한 석제 받침대를 설치합니다.
A successful power attack has a chance to stagger an opponent who is not blocking.	강한 공격을 성공시켰을 경우, 방어를 하지 않았던 상대를 비틀거리게 할 수도 있습니다.
A successful power attack will always break an opponent's block, and cause a stagger.	강한 공격을 성공시키면 항상 상대의 방어를 무너뜨려 비틀거리게 할 수 있습니다.
A swarm that does <mag> poison damage for <dur> seconds.	곤충 떼가 <dur> 초 동안 <mag> 의 독 피해를 입힙니다.
A sweetroll.	달콤한 빵.
A sword. (25 husks)	검. (25 껍질)
A Thunderbolt that does <mag> points of shock damage to Health and half that to Magicka.	치명적인 벼락을 날려 <mag> 의 전격 피해와 절반의 매지카 피해를 입힙니다.
A tidy, one-room house.	자그마한, 방 하나짜리 집.
A Tragedy in Black	검은 비극
A truly strong chief would break the curse, not suffer from it.	진정으로 강한 족장이라면 저주를 풀어야지, 저주때문에 고통받는 것이 아니고.
A vampire? I don't think so.	흡혈귀라고? 안될 거 같군.
A volley of frozen shards that do <mag> points of damage, and twice as much Stamina damage.	얼음 파편들을 발사하여 <mag> 냉기 피해를 입힙니다. 지구력에도 2 배의 피해를 입힙니다.
A Warning	경고
A wedding?	결혼식?
A... mudcrab?	뭐...? 진흙 게?
A... skeever?	스키버?
Abacean Longfin	아비시안 롱핀
Abandoned Building	버려진 건물
Abandoned Cave	버려진 동굴
Abandoned House	버려진 집
Abandoned Lodge	버려진 오두막
Abandoned Prison	버려진 감옥
Abandoned Prison Key	열쇠 - 버려진 감옥
Abandoned Shack	버려진 판잣집
Abandoned Shack Key	열쇠 - 버려진 판잣집
Abecean Longfin	아비시안 롱핀
Abelone	아빌론
Ability	능력
Abort	중단
About Paarthurnax...	파써낙스에 대해서...
About Silt Striders...	실트 스트라이더들에 관해서...
About that amulet...	아뮬렛에 말인데...
About that message from the General...	장군이 보낸 메시지에 대해...
About that message from the Jarl...	야를이 보낸 메시지에 대하여...
About that message from Ulfric...	울프릭이 보낸 메시지에 대하여...
About that money Drovas owes you...	드로바스가 당신에게 진 빚에 관해서...
About that poem....	그 시 말인데...
About that test...	그 시험에 대하여..
About the secrecy of the Nightingales...	나이팅게일의 비밀에 대해서 말인데...
About to change back...	변신이 풀리고 있습니다...
About your mother...	네 어머니에 대해...
About your name...	네 이름이...
Absolutely not. No pets. Ever.	난 동물이 싫다.
Absorb	흡수
Absorb <mag> health, magicka, and stamina for <dur> seconds.	<dur> 초 동안 체력, 매지카, 지구력을 <mag> 흡수합니다.
Absorb <mag> points of healt per second from the target.	매 초마다 체력을 <mag> 흡수합니다.
Absorb <mag> points of health from the target with Bloodcursed arrows.	피의 저주를 받은 화살이 체력을 <mag> 흡수합니다.
Absorb <mag> points of health from the target.	체력을 <mag> 흡수합니다.
Absorb <mag> points of health per second from the target.	매 초마다 체력을 <mag> 흡수합니다.
Absorb <mag> points of health per second from the target. Only equipped in the left hand.	매 초마다 체력을 <mag> 흡수합니다. 왼손에만 장착할 수 있습니다.
Absorb <mag> points of health, magicka, and stamina per second from the target.	매 초마다 체력, 매지카, 지구력을 <mag> 흡수합니다.
Absorb <mag> points of health.	체력을 <mag> 흡수합니다.
Absorb <mag> points of magicka from the target.	매지카를 <mag> 흡수합니다.
Absorb <mag> points of magicka per second from the target.	매 초마다 매지카를 <mag> 흡수합니다.
Absorb <mag> points of magicka.	매지카를 <mag> 흡수합니다.
Absorb <mag> points of stamina from the target.	지구력을 <mag> 흡수합니다.
Absorb <mag> points of stamina per second from the target.	매 초마다 지구력을 <mag> 흡수합니다.
Absorb <mag> points of stamina.	지구력을 <mag> 흡수합니다.
Absorb <mag>% of the magicka from dragon breath and spells.  Chance on hit to spawn a tentacle explosion.	드래곤의 숨결과 적의 마법으로부터 <mag>% 의 매지카를 흡수합니다. 피해를 입을 시 일정한 확률로 촉수를 생성합니다.
Absorb <mag>% of the magicka from hostile spells for <dur> seconds.	<dur> 초 동안 적의 마법으로부터 <mag>% 의 매지카를 흡수합니다.
Absorb Health	체력 흡수
Absorb Magicka	매지카 흡수
Absorb Spells	마법 흡수
Absorb Stamina	지구력 흡수
Accept	승인
Accept <Alias=Jarl>'s surrender.	<Alias=Jarl>의 항복을 받기
