Source	Target
"Too much trouble" is exactly how I'd describe the experience I just had.	일하면서 제가 겪은 경험이 정확히 '너무 큰 문제'였던 것 같네요.
"Trawl" sounds absolutely disgusting.	'트롤'이라니, 정말 역겨운 이름이군요.
"Trident: Carrying the Scepter of Quality."	'트라이던트: 품질의 왕홀을 짊어지고.'
"Trouble" only begins to describe it.	'문제'라는 단어만으로는 설명하기 부족하죠.
"Trucks in spaaace." Their motto always cracks me up.	'운송선을 몰자! 우주를 향해!' 그 홍보 문구만 들으면 웃기다니까.
"Trust me" is my go to line when someone shouldn't trust me.	'날 믿어'란 말은 날 믿으면 안 될 때 쓰는 말인데.
"Two crate aluminum." Signed Bailey.	'알루미늄 상자 두 개.' 베일리 서명.
"Unity Me" totally needs to install a bed in there. Get some beauty sleep...	'유니티의 나'는 거기다 침대를 깔아줘야 해. 완전히 숙면할 수 있겠던데...
"Unity"... did that Starborn say the word "Unity"?	'유니티'... 방금 스타본이 '유니티'라고 했어요?
"Unity." Do you remember that?	유니티요. 기억나시죠?
"Unity?" Huh. That's an important concept in Keeper Aquilus's speeches. You think it's connected?	유니티요? 허. 그건 아퀼루스 목자님의 연설에서 중요한 개념인데요. 서로 관련이 있을까요?
"Upon the gates I spied more than a thousand, who of old from heaven were hurled."	'문 앞에서 천여 명을 넘게 보았노라. 옛 천국에서 쫓겨난 그 사람들을.'
"Want" has nothing to do with it! This is hardly the place. We can "talk" when we have returned to your ship.	'원해서' 얘기하고 싶은 게 전혀 아니야! 여긴 대화할 곳이 못 되니까 함선으로 돌아가서 그때 얘기나 하자.
"Wanted" isn't the right word. "Demanded" would be more appropriate.	'바랐던' 게 아니라 '요구했다'는 표현이 더 맞을 거야.
"War is as much a punishment to the punisher as to the sufferer."	전쟁은 고통받는 자에게나 고통을 주는 자에게나 똑같이 벌이 된다.'
"We do have some insurance set aside for this exact problem."	'바로 이런 때를 대비해서 든 보험이 있지.'
"We don't need a real throne, we have a throne at home."	'우리에겐 왕좌가 필요 없다. 이미 집 안에 왕좌가 있으니.'
"We got a lot of one-of-a-kind pieces for sale."	'세상에 오직 하나뿐인 물건들을 잔뜩 구해왔어.'
"We will spare no expense in tracking down who did this and bring them to justice."	또한 범인을 찾아내어 법의 심판을 받게 하는 데 비용을 아끼지 않겠다고 밝혔습니다.
"What is goodness but a comparison to the Good? What is existence but a participation in Being?"	'선과 비교했을 때 착함이란 무엇일까요? 존재에 관계됐을 때 실재란 무엇일까요?'
"What's in the shipment."	'화물 안에 뭐가 있습니까.' 라니
"What? You can reattach a finger, Percy."	'왜요? 제 손가락은 다시 붙여줄 수 있잖아요. 퍼시.'
"Why would I want a tour of New Homestead," he says!	'뉴홈스테드 투어가 왜 필요한 거죠?' 라니요!
"Why would I want a tour of New Homestead," she says!	'뉴홈스테드 투어가 왜 필요한 거죠?' 라니요!
"Why would I want a tour of New Homestead," they say!	'뉴홈스테드 투어가 왜 필요한 거죠?' 라니요!
"Winner takes all" is the phrase, is it not?	'승자가 독식한다'라는 말이 있잖아?
"Xenowarfare" doesn't sound good.	'외계생물전'이라니, 좋게 들리진 않습니다만.
"You are a bad actor and I am losing my patience."	'연기를 더럽게 못해서 더 이상 못 봐주겠네.'
"You're a Coe", "you're a Coe", "you're a Coe." You hit that drum so hard, the rim's fallen off.	'코 가문 사람', '코 가문 사람', '코 가문 사람'. 자꾸 그렇게 말하니까 귀에 딱지가 생길 지경이야.
"You're your own worst enemy!" *chuckle*	'너의 가장 큰 적은 너 자신이다!' *킥킥 웃음*
$Use	사용
%+<mag>% Health for <dur>	<dur> 동안 체력 +<mag>%
%.0f credits have been sent home to your parents.	%.0f 크레딧을 부모님께 송금했다.
%Repairs <mag>% Ship Hull/s for <dur>	<dur> 동안 초당 선체 수리 + <mag>%
%Restores <mag>% Health/s for <dur>	<dur> 동안 초당 체력 회복 + <mag>%
%s Added	%s 추가됨
%s attempt failed.	%s 시도 실패.
%s discovered from %s.	%s 효과 발견: %s
%s has worn off.	%s 효과가 사라졌습니다.
%s is too powerful for %s.	%s의 위력이 너무 강해 %s의 위력을 압도합니다.
%s needed for terminal.	이 단말기를 해제하려면 %s 가 필요합니다.
%s resisted %s.	%s, %s에 저항했습니다.
%s signal found.	%s의 신호를 찾았습니다.
%s signal lost.	%s의 신호를 놓쳤습니다.
'Bout time someone killed the main lights.	아, 슬슬 누가 조명을 끌 때가 되었다고 생각했는데.
'Bout time you stopped by.	언제 들를 줄 알았는데.
'Cause if so, I'm gonna need a better weapon than this pea shooter.	그럼 이런 후진 총보다는 더 나은 무기가 있어야 할 텐데.
'Cause that's what we were hired to do.	왜냐면 그 일을 위해 고용된 거니까.
'Course I don't get what he sees in the stuff. No one outside of him deals in it anymore.	물론 걔가 그 물건을 보고 무슨 생각을 하는지 모르겠어. 그 친구 말고 다른 사람은 거래하지도 않잖아.
'Course something happened. Ain't that always the case?	당연히 무슨 일이 있었지. 항상 그렇잖아?
'Course the only killing made was when he got himself shot in a robbery.	사업을 하면서 살인 사건이 한번 일어났지. 솔로몬은 강도 때문에 총에 맞아 죽었고.
'Course when the tour's over.	그래, 안내가 끝나고 나면.
'Course! Don't think I ain't got a clue 'bout who I'm dealing with, mate.	당연하지! 내가 누구랑 거래하는지 모를 거라고 생각하나, 친구?
'Course, I always knew it wouldn't last, that I'd have my chance sooner or later.	물론, 그게 오래가진 못할 거란 건 알고 있었어. 언젠가는 내 기회가 올 거라고.
'Course, I wouldn't have needed rescuing if they hadn't blown up the ship I was working on.	물론 애초에 내가 정비하던 배를 날려 버리지 않았다면, 나도 구조받을 필요가 없었을 테지만.
'Fraid I can't help you. That's locked up for a reason.	미안하지만 안 돼. 압수한 데에는 이유가 있거든.
'kay then.	그럼 됐어.
'Kay, boss.	알았어. 대장.
'kay, I'll see you later.	그래, 다음에 또 봐.
'Ole RagTag	올 래그태그
'preciate it, Cap.	고마워, 선장.
'Scuse me? I don't have time for this bullcrap.	뭐시라? 헛소리 들어줄 시간 없다고.
'til later, then.	그럼 나중에 보지.
'Til next time, I guess?	담에 또 봐요. 아마도?
'til next time, then.	다음에 봐.
'Til next time.	담에 보자고.
((Execute Test Sequence))	((테스트 시퀀스 실행))
(Offline) ::Engine - Grav Drive::	(오프라인) ::엔진 - 중력 구동기::
(Offline) ::Engine - Thrusters::	(오프라인) ::엔진 - 추력기::
(Offline) ::Life Support System::	(오프라인) ::생명 유지 시스템::
(Offline) ::System - Shields::	(오프라인) ::시스템 - 보호막::
(Offline) ::Weapon - Port::	(오프라인) ::무장 - 좌현::
(Offline) ::Weapon - Starboard::	(오프라인) ::무장 - 우현::
(Online) ::Weapon - Missile Pod::	(오프라인) ::무장 - 미사일 포드::
(Online) Weapons - Missile Pod	(온라인) 무장 - 미사일 포드
(Optional) Access Ochim Ka'dic's Computer	(선택) 오킴 카딕의 컴퓨터에 접속하기
(Optional) Access the CredTank	(선택) 크레딧 금고 열기
(Optional) Access the supply caches	(선택) 보급품 저장고 확인하기
(Optional) Access the UC Security contraband store	(선택) UC 경비대 밀수품 보관소 이용하기
(Optional) Acquire the ES Award Claim ID	(선택) 지구 구세주 상 확인증 구하기
(Optional) Approach targets to harvest non-lethally	(선택) 목표물에 접근하여 살상하지 않고 채취하기
(Optional) Approach targets undetected to harvest non-lethally	(선택) 목표물에 들키지 않고 접근하여 살상하지 않고 채취하기
(Optional) Ask <Alias=Companion> for advice about your decision	(선택) <Alias=Companion>에게 무슨 결정을 내릴지 조언을 구하기
(Optional) Ask Cora for Help	(선택) 코라에게 도움을 요청하기
(Optional) Ask Malik if he has farmhands	(선택) 말릭에게 농장 일손이 있는지 물어보기
(Optional) Ask Nilesh for a diversion	(선택) 닐레쉬에게 주의를 끌어 달라고 하기
(Optional) Ask Rosa Newill about Dietrich Sieghart	(선택) 로사 뉴윌에게 디트리히 지크하트에 대해 물어보기
(Optional) Ask the staff how to deal with the Trackers	(선택) 쉼터 직원들과 추적자 문제를 어떻게 대응할지 물어보기
(Optional) Bargain with the Captain	(선택) 선장과 거래하기
(Optional) Betray Huan to Divert Attention	(선택) 주의를 돌리기 위해 후안을 배신하기
(Optional) Betray the Strikers	(선택) 스트라이커를 배신하기
(Optional) Blow out a candle	(선택) 촛불 끄기
(Optional) Bypass the exam to leave your run unfinished	(선택) 시험을 우회하여 진행 상태를 미결로 남겨두기
(Optional) Cast Aside Your Burdens	(선택) 내가 짊어진 짐 제물로 바치기
(Optional) Change Percival's debt amount	(선택) 퍼시벌 워커 박사의 빚 금액을 변경하기
(Optional) Check in with Lane Garza	(선택) 레인 가르자와 대화하기
(Optional) Check Malik's terminal	(선택) 말릭의 단말기 확인하기
(Optional) Check on the Villagers	(선택) 마을 주민 확인하기
(Optional) Check out the Mission Board	(선택) 임무 단말기 확인하기
(Optional) Collapse the cave to seal the horrors	(선택) 동굴을 붕괴시켜 호러 봉인하기
(Optional) Collect a Laser Cutter	(선택) 레이저 절단기 획득하기
(Optional) Collect All the Slates	(선택) 모든 슬레이트 수집하기
(Optional) Collect an Aqueous Hematite sample	(선택) 수용성 적철석 샘플을 획득하기
(Optional) Collect Cambridge's research	(선택 ) 케임브리지에게 줄 연구 자료를 얻기
(Optional) Collect credits from Lou	(선택) 루에게 크레딧을 받기
(Optional) Collect parts and fabricate a MicroCell	(선택) 부품을 모아 미세 전지를 조립하기
(Optional) Collect the remaining manifests	(선택) 나머지 물품 목록 회수하기
(Optional) Collect your gear	(선택) 나의 장비 획득하기
(Optional) Complete a Bounty Mission	(선택) 현상수배 임무 완료하기
(Optional) Complete a Passenger Mission	(선택) 승객 운송 임무 완료하기
(Optional) Confront Ularu on the Executive Offices Floor	(선택) 임원 전용층에서 울라루를 추궁하기
(Optional) Contact Cambridge	(선택) 케임브리지에게 연락하기
(Optional) Contact Cambridge on the comms panel	(선택) 통신 패널로 케임브리지에게 연락하기
(Optional) Contemplate the Shrouding	(선택) 장막의 날에 대해 고뇌하기
(Optional) Convince Akachi to bypass verification	(선택) 인증을 생략하도록 아카치를 설득하기
(Optional) Convince recipients to put up the materials	(선택) 모집 배포물을 게시하도록 설득하기
(Optional) Convince Stratos to hand over the slate	(선택) 스트라토스가 슬레이트를 넘기도록 설득하기
(Optional) Deactivate Shinya Voss' Bomb	(선택) 신야 보스의 폭탄을 해제하기
